ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5675	5,3,3,3,2,0	11,44,36,37,21,40	0,1,0,0,7,0	24,7,19,27,18,10	286	149
5676	793,1315,1044,965,1293,1063	0,0,1,0,0,1	992,769,920,1200,1703,503	0,0,0,0,0,0	203	149
5677	1224,1839,1515,1235,1828,1502	0,4,4,0,2,4	1573,1201,1449,2006,2417,876	2,0,0,1,0,0	210	149
5678	2,4,3,1,4,0	70,111,90,75,94,95	1,0,1,0,0,1	70,62,51,77,103,24	275	149
5679	129,168,150,108,168,209	1,0,0,0,2,0	50,87,101,96,150,70	0,2,0,2,0,0	257	149
5680	165,231,150,137,211,160	0,0,0,2,3,1	90,76,91,130,153,60	0,0,0,0,0,0	281	149
5681	83,105,71,60,102,96	0,0,0,0,0,2	38,34,53,67,77,43	0,0,0,0,0,0	281	149
5682	85,105,71,60,102,96	0,0,0,0,0,0	38,34,53,67,77,43	0,0,0,1,0,0	281	149
5683	89,127,96,57,145,86	0,0,0,0,0,2	62,41,54,74,81,18	0,0,0,0,0,0	301	149
5684	6,12,6,4,11,7	0,0,0,0,0,0	1,5,3,6,3,1	0,0,0,1,0,0	301	149
5685	172,253,175,132,251,149	1,0,0,0,0,0	114,83,92,139,157,35	0,0,0,0,0,0	301	149
5686	89,138,85,79,117,70	3,0,0,0,0,0	53,47,41,71,79,18	0,0,0,0,0,0	301	149
5687	80,110,90,51,127,76	1,0,0,0,0,0	56,36,51,67,75,17	0,0,0,0,0,0	283	149
5688	71,57,69,49,62,60	0,0,0,0,0,0	24,26,34,43,57,22	0,0,0,1,0,0	228	149
5689	72,57,69,49,62,58	3,0,0,0,0,0	24,26,34,43,57,22	0,0,0,0,0,0	228	149
5690	151,172,157,100,195,138	0,0,0,0,0,1	85,61,85,111,135,39	0,0,0,0,0,0	228	149
5691	112,107,108,67,121,92	0,0,0,0,0,0	44,38,54,79,91,33	0,0,0,0,0,1	157	149
5692	69,103,89,84,116,84	0,0,2,0,3,1	78,35,51,91,120,30	1,0,0,0,0,0	220	149
5693	19,16,26,16,36,15	0,0,0,0,0,3	19,9,15,18,27,8	0,1,0,0,6,0	220	149
5694	20,18,30,16,38,18	0,0,2,0,3,1	30,25,27,32,55,13	1,0,0,0,0,0	234	149
5695	30,47,32,19,37,40	0,0,0,0,0,3	34,18,16,33,46,14	0,1,0,0,6,0	218	149
5696	81,138,94,88,118,114	0,0,0,1,0,0	87,44,61,106,145,36	0,0,0,0,0,0	218	149
5697	5,5,5,6,3,2	0,0,2,0,1,0	1,3,6,6,6,3	0,0,0,1,0,0	247	149
5698	155,220,149,129,178,198	0,0,1,0,0,0	106,100,129,207,176,86	0,0,0,0,0,0	213	149
5699	1326,1918,1498,1436,1928,1982	1,0,0,0,0,0	1392,1023,1300,1533,1980,770	0,0,0,0,0,0	272	149
5700	1630,2414,1927,1703,2447,2449	0,2,0,0,0,0	1639,1278,1597,1857,2420,901	0,0,2,0,1,0	527	149
5701	268,405,398,299,384,317	0,0,0,0,0,1	384,257,333,398,444,181	0,0,0,0,0,0	278	149
5702	369,600,549,467,681,561	3,12,14,12,16,4	411,343,373,607,657,235	19,20,18,26,28,13	213	149
5703	453,666,639,576,773,714	0,0,0,0,0,0	637,489,498,812,808,271	0,2,0,0,0,0	206	149
5704	677,1026,864,759,1054,906	0,0,0,0,0,0	916,653,754,1161,1098,390	0,0,0,1,0,0	266	149
5705	383,547,497,351,549,415	0,0,0,0,3,1	386,288,301,648,486,141	0,0,0,0,0,0	338	149
5706	372,461,472,390,531,518	3,5,4,2,1,3	333,293,294,465,472,127	2,0,2,2,10,0	282	149
5707	205,284,274,228,307,283	0,0,0,0,0,2	216,162,180,275,271,76	0,0,0,0,0,0	282	149
5708	242,308,300,247,332,321	3,5,4,2,1,3	244,187,203,290,315,87	2,0,2,2,10,0	296	149
5709	275,384,361,274,434,377	0,0,0,0,0,2	281,225,228,367,366,107	0,0,0,0,0,0	500	149
5710	16,26,19,29,38,24	0,0,0,0,0,2	18,14,16,43,17,11	0,0,0,0,0,0	223	149
5711	171,190,206,182,254,244	0,0,0,0,0,0	127,139,125,224,205,61	0,0,0,2,0,0	223	149
5712	383,652,551,415,671,485	0,2,0,0,1,0	433,242,310,450,485,147	0,0,0,3,1,1	191	149
5713	499,841,691,556,843,578	0,0,0,0,0,0	596,329,442,617,615,165	0,0,0,0,0,1	211	149
5714	10,9,23,8,17,19	50,69,100,38,50,67	2,4,8,5,4,2	39,26,31,38,73,25	264	149
5715	315,515,390,298,447,399	0,0,2,1,0,0	362,291,317,492,434,143	0,0,0,0,0,0	412	149
5716	603,960,759,626,934,752	0,0,2,1,0,0	709,558,633,978,875,319	0,0,0,0,0,0	244	149
5717	134,235,200,157,231,196	0,0,0,1,0,0	192,164,189,262,285,90	0,0,0,0,0,0	224	149
5718	130,198,172,142,206,173	0,0,0,0,0,0	162,145,164,179,276,90	0,0,0,2,0,0	199	149
5719	3,1,12,3,8,2	1,0,2,0,0,1	0,0,10,3,5,0	0,0,0,0,0,0	301	149
5720	522,693,499,470,671,638	0,0,0,0,1,0	399,282,282,566,593,151	0,0,0,0,0,1	217	149
5721	2024,3189,2496,2162,3648,2583	0,0,0,0,0,0	2142,1751,1993,2999,3159,976	0,0,0,0,2,0	483	149
5722	1682,2697,2028,1755,3060,2070	0,1,0,0,0,2	1782,1430,1647,2473,2642,784	0,1,0,0,0,0	483	149
5723	55,96,90,64,124,91	0,1,0,0,0,2	64,63,65,108,105,32	0,1,0,0,0,0	197	149
5724	314,496,455,398,641,485	40,96,55,31,118,66	393,329,366,566,517,183	65,59,46,77,90,20	197	149
5725	485,721,677,608,906,868	0,0,0,0,0,2	612,410,507,661,773,261	0,0,0,0,0,0	274	149
5726	2,0,3,0,3,0	12,40,17,13,31,27	0,0,0,0,0,0	29,9,8,26,19,15	170	149
5727	28,58,55,42,74,64	297,462,362,306,478,412	41,36,26,87,81,31	331,270,323,468,532,169	290	149
5729	1186,1815,1685,1307,1888,1577	0,1,0,0,0,0	1323,965,1067,1603,1933,569	0,0,0,0,0,0	245	149
5730	364,571,483,409,587,502	0,1,0,0,0,0	392,297,319,496,567,171	0,0,0,0,0,0	236	149
