	ERR9081485	ERR9081486	ERR9081487	ERR9081488	ERR9081489	ERR9081490
AT3G47690.1	3.84463	4.805525	4.726209	4.761533	3.887869	3.667572
AT3G47700.1	5.607811	6.507641	5.487912	5.418307	6.043207	5.480382
AT3G47710.1	0.898542	1.29895	1.738525	0.772058	1.029466	1.333806
AT3G47720.1	0	0	0.041625	0	0	0
AT3G47730.1	53.656636	56.057105	51.266132	53.747962	55.34653	59.595448
AT3G47740.1	2.091745	1.963047	1.473724	1.558646	1.670711	1.933008
AT3G47750.1	1.149225	1.154216	1.199216	1.320407	1.340921	1.099823
AT3G47760.1	0	0	0.0247	0.028734	0	0
AT3G47760.2	0	0	0	0	0	0.014956
AT3G47760.3	0.119242	0.084921	0	0	0.092856	0.036817
AT3G47770.1	0	0	0	0	0	0
AT3G47770.2	0.383148	0.421817	0.393605	0.343437	0.392548	0.338855
AT3G47770.3	0	0	0	0	0	0
AT3G47780.1	10.776805	9.173116	7.23928	7.967968	7.32778	8.367689
AT3G47790.1	1.757114	1.667245	1.638503	1.056151	2.156307	1.483262
AT3G47790.2	0.60638	0.851089	0.769455	0.596746	0.818095	0.743348
AT3G47790.3	0.831258	0.585706	0.237324	0.636327	0.557511	0.46452
AT3G47800.1	190.962692	197.192807	202.018276	223.815615	232.867633	231.356231
AT3G47810.1	3.588103	2.03288	2.337015	4.07433	3.783273	3.219257
AT3G47810.2	2.357618	2.712523	2.404368	2.687578	2.19793	3.40477
AT3G47810.3	120.958202	118.649685	127.513282	121.229839	121.56381	132.073474
AT3G47820.1	5.347885	4.289963	4.878707	4.421003	4.649241	4.929924
AT3G47830.1	1.253198	0.687629	1.101137	0.842958	0.926197	0.854661
AT3G47833.1	48.007664	43.277423	42.352773	37.231629	39.429672	39.666566
AT3G47836.1	70.896317	76.240573	73.783471	68.033874	72.085933	61.899143
AT3G47836.2	0.579045	0.36578	0.795878	0	0.251256	0.143681
AT3G47840.1	1.15953	0.969653	1.300378	1.234317	1.415846	1.384244
AT3G47850.1	30.555036	33.005073	28.985437	27.893235	30.609142	27.87411
AT3G47860.1	48.61789	49.613193	41.110865	42.682694	44.687123	40.993435
AT3G47870.1	0.038858	0.03826	0.061438	0.05359	0.051858	0.072294
AT3G47890.1	18.853893	12.996379	17.949184	14.245863	17.481154	14.227688
AT3G47890.2	0	5.588976	0	5.591386	1.285424	5.91419
AT3G47910.1	7.08574	6.953569	5.950776	6.701899	5.658219	7.238263
AT3G47910.2	12.209277	11.562452	12.341677	12.787877	13.601893	12.550437
AT3G47920.1	0	0	0	0	0	0
AT3G47930.1	17.992718	17.73987	18.981071	18.587183	17.822984	18.05939
AT3G47930.2	1.970405	1.837632	1.191353	1.623746	1.692964	0.933554
AT3G47940.1	8.053209	9.055282	7.87937	8.195515	9.018274	7.693809
AT3G47950.1	4.067909	3.07809	2.93345	2.165953	3.794558	2.976294
AT3G47950.2	0.192258	1.613363	0.435415	0.857522	0.461076	0.9788
AT3G47960.1	11.832299	10.610524	14.021696	12.936108	11.452444	15.75321
AT3G47965.1	45.297966	54.128207	51.509618	47.341625	59.091218	53.315545
AT3G47980.1	9.13967	8.428784	9.051538	6.730691	5.276818	6.237906
AT3G47990.1	16.976574	14.043375	14.187315	15.68873	15.167681	16.082259
AT3G47990.2	0.752019	1.294971	0.844298	0.770127	1.076286	0.606937
AT3G47990.3	1.412145	0.470248	1.139234	1.104778	1.450813	0.914968
AT3G47990.4	4.314256	5.79786	5.244452	5.103824	5.857967	5.999842
AT3G47990.5	4.155194	6.660398	6.847638	6.219179	5.079012	4.060865
AT3G48000.1	287.433149	296.777003	258.836319	302.646809	332.957231	271.259986
AT3G48010.1	0.082038	0.038511	0.0555	0	0.039111	0.06114
AT3G48020.1	9.726004	9.617964	8.797543	9.536181	8.600329	10.645166
AT3G48030.1	0	0	0	0	0.081878	0
AT3G48030.2	11.093518	11.059086	9.563905	10.72019	10.345851	10.04862
AT3G48040.1	5.552701	8.137912	8.088107	7.189642	7.868574	7.658388
